trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
186,6.1118294131823925,1.6347070089524987,7.434079329544796,5.729289369124057,4.288549033087622,1.6347070089524987,1.418857993876979
187,1.4122518123005658,1.3164173206569627,11.22122412592002,9.426169720254617,9.072271247050525,3.1805773763509566,3.114750963712017
188,3.9972123576566623,1.9028899495307772,6.084354141807207,10.311418428418618,4.603291086988509,1.994548058289621,2.5124850062761874
189,4.018048179604672,2.039118363302992,4.632602828206976,2.64235387053517,1.6423538705351703,2.039118363302992,2.039118363302992
190,7.133509223584506,1.8127268952747224,8.361931994651744,8.550697300317058,9.252354076331759,3.720222980930219,3.720222980930219
191,8.150496514655492,1.003262935197775,2.5149187081671944,3.5149187081671944,2.5149187081671944,1.003262935197775,1.003262935197775
192,43.62634184599184,7.53763184654687,3.4305253610859032,13.530505210738426,12.530505210738426,7.018143782508897,8.045834121545738
193,16.619752112407717,5.191228658761878,8.892073802594735,11.423926063724387,7.461521124514743,2.599907407067731,3.1682669634137484
194,8.397153868536188,1.9531246726443516,7.820806147453753,7.759974003396804,5.817946470528478,2.7748510576917043,1.6264110972308121
195,30.66529138579409,13.969015173999999,4.901492828168464,14.663139421036247,13.663139421036245,5.354742169172826,4.623615938802592
